"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"M5A Extra Large","m5a.xlarge","16.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","Yes","$125.560000 monthly","$55.480000 monthly","$0.232 hourly","$0.169 hourly","$0.297 hourly","$0.159 hourly","$259.880000 monthly","$189.800000 monthly","$0.424 hourly","$0.361 hourly","$0.836 hourly","$0.773 hourly","$1.856 hourly","$1.793 hourly","$0.24 hourly","$0.177 hourly","$0.652 hourly","$0.589 hourly","$1.672 hourly","$1.609 hourly","0","$0.043 hourly"
"M1 General Purpose Large","m1.large","7.5 GiB","4 units","2 vCPUs","0","None","0 GiB","0","0","2 units","Intel Xeon Family","unknown","unknown","unknown","unknown","unknown","840 GiB               (2 * 420 GiB HDD)","No","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","30","3","No","No","No","No","PV","Yes","$127.750000 monthly","unavailable","$0.235 hourly","$0.172 hourly","$0.275 hourly","$0.148 hourly","$218.270000 monthly","unavailable","$0.435 hourly","$0.284 hourly","$0.955 hourly","$0.665 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.044 hourly"
"T2 Extra Large","t2.xlarge","16.0 GiB","Base performance:                 90%","4 vCPUs                                                   for a                 5h 24m                 burst","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.0 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","45","3","No","Yes","Yes","No","HVM","No","$135.488000 monthly","$58.546000 monthly","$0.2456 hourly","$0.175 hourly","$0.2856 hourly","$0.148 hourly","$165.418000 monthly","$88.476000 monthly","$0.298 hourly","$0.2274 hourly","unavailable","unavailable","$1.7266 hourly","$1.656 hourly","$0.2532 hourly","$0.1826 hourly","unavailable","unavailable","$1.6856 hourly","$1.615 hourly","unavailable","unavailable"
"Z1D Large","z1d.large","16.0 GiB","15 units","2 vCPUs","0","None","0 GiB","0","0","7.5 units","Intel Xeon Platinum 8151","4.0 GHz","unknown","unknown","unknown","unknown","75 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","2333.0 Mbps","291.0 MB/s","13333.0 IOPS","Yes","30","3","No","Yes","Yes","No","HVM","No","$135.780000 monthly","$56.210000 monthly","$0.246 hourly","$0.178 hourly","$0.249 hourly","$0.143 hourly","$202.940000 monthly","$123.370000 monthly","$0.346 hourly","$0.277 hourly","$0.758 hourly","$0.69 hourly","unavailable","unavailable","$0.254 hourly","$0.185 hourly","$0.666 hourly","$0.598 hourly","unavailable","unavailable","0","unavailable"
"C5 High-CPU Extra Large","c5d.xlarge","8.0 GiB","17 units","4 vCPUs","0","None","0 GiB","0","0","4.25 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","Yes","100 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","HVM","Yes","$140.160000 monthly","$59.130000 monthly","$0.252 hourly","$0.181 hourly","$0.292 hourly","$0.154 hourly","$274.480000 monthly","$193.450000 monthly","$0.444 hourly","$0.373 hourly","$0.856 hourly","$0.785 hourly","$1.876 hourly","$1.805 hourly","$0.26 hourly","$0.189 hourly","$0.672 hourly","$0.601 hourly","$1.692 hourly","$1.621 hourly","0","$0.048 hourly"
"M5 General Purpose Extra Large","m5.xlarge","16.0 GiB","16 units","4 vCPUs","0","None","0 GiB","0","0","4 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","HVM","Yes","$140.160000 monthly","$62.050000 monthly","$0.252 hourly","$0.183 hourly","$0.292 hourly","$0.156 hourly","$274.480000 monthly","$196.370000 monthly","$0.444 hourly","$0.374 hourly","$0.856 hourly","$0.787 hourly","$1.876 hourly","$1.807 hourly","$0.26 hourly","$0.19 hourly","$0.672 hourly","$0.603 hourly","$1.692 hourly","$1.623 hourly","0","$0.048 hourly"
"C4 High-CPU Extra Large","c4.xlarge","7.5 GiB","16 units","4 vCPUs","0","None","0 GiB","0","0","4 units","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","High","750.0 Mbps","93.75 MB/s","6000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$145.270000 monthly","$64.970000 monthly","$0.259 hourly","$0.186 hourly","$0.299 hourly","$0.159 hourly","$279.590000 monthly","$199.290000 monthly","$0.624 hourly","$0.381 hourly","$1.51 hourly","$1.27 hourly","$1.883 hourly","$1.81 hourly","$0.268 hourly","$0.194 hourly","$0.68 hourly","$0.606 hourly","$1.7 hourly","$1.626 hourly","$0.00 hourly","$0.052 hourly"
"M4 General Purpose Extra Large","m4.xlarge","16.0 GiB","13 units","4 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2676 v3 (Haswell)","2.4  GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","High","750.0 Mbps","93.75 MB/s","6000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$146.000000 monthly","$63.072000 monthly","$0.26 hourly","$0.1839 hourly","$0.3 hourly","$0.1569 hourly","$280.320000 monthly","$197.392000 monthly","$0.439 hourly","$0.346 hourly","$0.864 hourly","$0.7879 hourly","$1.884 hourly","$1.8079 hourly","$0.2676 hourly","$0.1915 hourly","$0.68 hourly","$0.6039 hourly","$1.7 hourly","$1.6239 hourly","$0.00 hourly","$0.060 hourly"
"A1 Double Extra Large","a1.2xlarge","16.0 GiB","0 units","8 vCPUs","0","None","0 GiB","0","0","0 units","AWS Graviton Processor","2.3 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$148.920000 monthly","$64.313000 monthly","$0.334 hourly","$0.2585 hourly","$0.354 hourly","$0.1885 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"M5AD Extra Large","m5ad.xlarge","16.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","150 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$150.380000 monthly","$65.700000 monthly","$0.266 hourly","$0.192 hourly","$0.331 hourly","$0.182 hourly","$284.700000 monthly","$200.020000 monthly","$0.458 hourly","$0.383 hourly","$0.87 hourly","$0.796 hourly","$1.89 hourly","$1.816 hourly","$0.274 hourly","$0.199 hourly","$0.686 hourly","$0.612 hourly","$1.706 hourly","$1.632 hourly","0","unavailable"
