"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"R5AD Double Extra Large","r5ad.2xlarge","64.0 GiB","0 units","8 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","300 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","2210.0 Mbps","265.0 MB/s","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$382.520000 monthly","$171.550000 monthly","$0.654 hourly","$0.462 hourly","$0.674 hourly","$0.392 hourly","$651.160000 monthly","$440.190000 monthly","$1.027 hourly","$0.835 hourly","$1.852 hourly","$1.66 hourly","$3.892 hourly","$3.7 hourly","$0.659 hourly","$0.467 hourly","$1.484 hourly","$1.292 hourly","$3.524 hourly","$3.332 hourly","0","unavailable"
"M3 General Purpose Double Extra Large","m3.2xlarge","30.0 GiB","26 units","8 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","160 GiB               (2 * 80 GiB SSD)","No","No","64-bit","High","N/A","0 MB/s","0 IOPS","No","120","4","No","No","No","No","HVM, PV","Yes","$388.360000 monthly","unavailable","$0.662 hourly","$0.51 hourly","$0.632 hourly","$0.413 hourly","$756.280000 monthly","unavailable","$1.468 hourly","$0.957 hourly","$2.532 hourly","$1.661 hourly","$3.9 hourly","$3.756 hourly","$0.671 hourly","$0.48 hourly","$1.496 hourly","$1.305 hourly","$3.536 hourly","$3.345 hourly","unavailable","$0.140 hourly"
"R4 High-Memory Double Extra Large","r4.2xlarge","61.0 GiB","27 units","8 vCPUs","0","None","0 GiB","0","0","3.375 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","1700.0 Mbps","212.5 MB/s","12000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$388.360000 monthly","$167.170000 monthly","$0.662 hourly","$0.433 hourly","$0.632 hourly","$0.369 hourly","$657.000000 monthly","$435.810000 monthly","$0.787 hourly","$0.628 hourly","$1.86 hourly","$1.664 hourly","$3.9 hourly","$3.704 hourly","$0.6672 hourly","$0.4712 hourly","$1.492 hourly","$1.296 hourly","$3.532 hourly","$3.336 hourly","0","$0.133 hourly"
"R5D Double Extra Large","r5d.2xlarge","64.0 GiB","38 units","8 vCPUs","0","None","0 GiB","0","0","4.75 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","unknown","300 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","Yes","60","4","No","Yes","Yes","No","HVM","Yes","$420.480000 monthly","$188.340000 monthly","$0.706 hourly","$0.494 hourly","$0.726 hourly","$0.424 hourly","$689.120000 monthly","$456.980000 monthly","$1.079 hourly","$0.867 hourly","$1.904 hourly","$1.692 hourly","$3.944 hourly","$3.732 hourly","$0.711 hourly","$0.499 hourly","$1.536 hourly","$1.324 hourly","$3.576 hourly","$3.364 hourly","0","$0.144 hourly"
"I3 High I/O Double Extra Large","i3.2xlarge","61.0 GiB","27 units","8 vCPUs","0","None","0 GiB","0","0","3.375 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","1900 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","1700.0 Mbps","212.5 MB/s","12000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$455.520000 monthly","$220.460000 monthly","$0.754 hourly","$0.558 hourly","$0.724 hourly","$0.461 hourly","$724.160000 monthly","$489.100000 monthly","$1.133 hourly","$0.937 hourly","$1.952 hourly","$1.756 hourly","$3.992 hourly","$3.796 hourly","$0.759 hourly","$0.564 hourly","$1.584 hourly","$1.388 hourly","$3.624 hourly","$3.428 hourly","0","$0.156 hourly"
"G2 Double Extra Large","g2.2xlarge","15.0 GiB","26 units","8 vCPUs","1","NVIDIA GRID K520","4 GiB","3.0","0","3.25 units","Intel Xeon E5-2670 (Sandy Bridge)","2.6 GHz","Yes","unknown","unknown","Yes","60 GiB               SSD","No","No","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","No","No","No","No","Unknown","Yes","$474.500000 monthly","unavailable","$0.78 hourly","$0.604 hourly","$0.75 hourly","$0.51 hourly","$559.910000 monthly","unavailable","$0.957 hourly","$0.775 hourly","$3.816 hourly","$3.754 hourly","unavailable","unavailable","$0.785 hourly","$0.561 hourly","$1.61 hourly","$1.385 hourly","unavailable","unavailable","unavailable","$0.200 hourly"
"R3 High-Memory Double Extra Large","r3.2xlarge","61.0 GiB","26 units","8 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","160 GiB               SSD","Yes","Yes","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$485.450000 monthly","unavailable","$0.795 hourly","$0.548 hourly","$0.765 hourly","$0.451 hourly","$762.850000 monthly","unavailable","$1.52 hourly","$1.069 hourly","$2.74 hourly","$2.412 hourly","$4.033 hourly","$3.789 hourly","$0.799 hourly","$0.512 hourly","$1.624 hourly","$1.337 hourly","$3.664 hourly","$3.377 hourly","unavailable","$0.180 hourly"
"C5 High-CPU Quadruple Extra Large","c5.4xlarge","32.0 GiB","68 units","16 vCPUs","0","None","0 GiB","0","0","4.25 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","HVM","Yes","$496.400000 monthly","$208.050000 monthly","$0.81 hourly","$0.558 hourly","$0.78 hourly","$0.461 hourly","$1033.680000 monthly","$745.330000 monthly","$1.686 hourly","$1.435 hourly","$3.336 hourly","$3.084 hourly","$7.416 hourly","$7.164 hourly","$0.95 hourly","$0.699 hourly","$2.6 hourly","$2.348 hourly","$6.68 hourly","$6.428 hourly","$0.00 hourly","$0.170 hourly"
"M5A Quadruple Extra Large","m5a.4xlarge","64.0 GiB","0 units","16 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","Yes","$502.240000 monthly","$220.460000 monthly","$0.818 hourly","$0.568 hourly","$0.838 hourly","$0.498 hourly","$1039.520000 monthly","$757.740000 monthly","$1.694 hourly","$1.444 hourly","$3.344 hourly","$3.094 hourly","$7.424 hourly","$7.174 hourly","$0.958 hourly","$0.708 hourly","$2.608 hourly","$2.358 hourly","$6.688 hourly","$6.438 hourly","0","$0.172 hourly"
"D2 Extra Large","d2.xlarge","30.5 GiB","14 units","4 vCPUs","0","None","0 GiB","0","0","3.5 units","Intel Xeon E5-2676v3 (Haswell)","2.4 GHz","Yes","Yes","unknown","Yes","6000 GiB               (3 * 2000 GiB HDD)","Yes","N/A","64-bit","Moderate","750.0 Mbps","93.75 MB/s","6000.0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$503.700000 monthly","unavailable","$0.75 hourly","$0.462 hourly","$0.79 hourly","$0.439 hourly","$599.330000 monthly","unavailable","unavailable","unavailable","unavailable","unavailable","$2.374 hourly","$2.086 hourly","unavailable","unavailable","unavailable","unavailable","$2.19 hourly","$1.862 hourly","$0.00 hourly","$0.173 hourly"
"Z1D Double Extra Large","z1d.2xlarge","64.0 GiB","53 units","8 vCPUs","0","None","0 GiB","0","0","6.625 units","Intel Xeon Platinum 8151","unknown","unknown","unknown","unknown","unknown","300 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","2333.0 Mbps","292.0 MB/s","13333.0 IOPS","Yes","60","4","No","Yes","Yes","No","HVM","Yes","$543.120000 monthly","$224.110000 monthly","$0.874 hourly","$0.6 hourly","$0.894 hourly","$0.53 hourly","$811.760000 monthly","$492.750000 monthly","$1.247 hourly","$0.973 hourly","$2.072 hourly","$1.798 hourly","$4.112 hourly","$3.838 hourly","$0.879 hourly","$0.605 hourly","$1.704 hourly","$1.43 hourly","$3.744 hourly","$3.47 hourly","0","$0.186 hourly"
"G3S Extra Large","g3s.xlarge","30.5 GiB","13 units","4 vCPUs","1","NVIDIA Tesla M60","8 GiB","5.2","0","3.25 units","Intel Xeon E5-2686 v4 (Broadwell)","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","850.0 Mbps","100.0 MB/s","5000.0 IOPS","No","60","4","No","Yes","Yes","No","Unknown","Yes","$547.500000 monthly","$319.010000 monthly","$0.81 hourly","$0.611 hourly","$0.875 hourly","$0.601 hourly","$681.820000 monthly","$453.330000 monthly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.188 hourly"
"C5 High-CPU Quadruple Extra Large","c5d.4xlarge","32.0 GiB","68 units","16 vCPUs","0","None","0 GiB","0","0","4.25 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","Yes","400 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","HVM","Yes","$560.640000 monthly","$235.060000 monthly","$0.898 hourly","$0.614 hourly","$0.868 hourly","$0.517 hourly","$1097.920000 monthly","$772.340000 monthly","$1.774 hourly","$1.491 hourly","$3.424 hourly","$3.14 hourly","$7.504 hourly","$7.22 hourly","$1.038 hourly","$0.755 hourly","$2.688 hourly","$2.404 hourly","$6.768 hourly","$6.484 hourly","0","$0.192 hourly"
"M5 General Purpose Quadruple Extra Large","m5.4xlarge","64.0 GiB","60 units","16 vCPUs","0","None","0 GiB","0","0","3.75 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","HVM","Yes","$560.640000 monthly","$247.470000 monthly","$0.898 hourly","$0.621 hourly","$0.868 hourly","$0.524 hourly","$1097.920000 monthly","$784.750000 monthly","$1.774 hourly","$1.497 hourly","$3.424 hourly","$3.147 hourly","$7.504 hourly","$7.227 hourly","$1.038 hourly","$0.761 hourly","$2.688 hourly","$2.411 hourly","$6.768 hourly","$6.491 hourly","0","$0.192 hourly"
"C4 High-CPU Quadruple Extra Large","c4.4xlarge","30.0 GiB","62 units","16 vCPUs","0","None","0 GiB","0","0","3.875 units","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","High","2000.0 Mbps","250.0 MB/s","16000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$581.080000 monthly","$258.420000 monthly","$0.926 hourly","$0.634 hourly","$0.896 hourly","$0.537 hourly","$1118.360000 monthly","$795.700000 monthly","$1.814 hourly","$1.522 hourly","$5.538 hourly","$4.203 hourly","$7.532 hourly","$7.24 hourly","$1.07 hourly","$0.774 hourly","$2.72 hourly","$2.424 hourly","$6.8 hourly","$6.504 hourly","$0.00 hourly","$0.210 hourly"
"M4 General Purpose Quadruple Extra Large","m4.4xlarge","64.0 GiB","53.5 units","16 vCPUs","0","None","0 GiB","0","0","3.344 units","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","High","2000.0 Mbps","250.0 MB/s","16000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$584.000000 monthly","$252.288000 monthly","$0.93 hourly","$0.6256 hourly","$0.9 hourly","$0.5286 hourly","$1121.280000 monthly","$789.568000 monthly","$1.844 hourly","$1.381 hourly","$3.456 hourly","$3.1516 hourly","$7.536 hourly","$7.2316 hourly","$1.0704 hourly","$0.766 hourly","$2.72 hourly","$2.4156 hourly","$6.8 hourly","$6.4956 hourly","$0.00 hourly","$0.240 hourly"
"M5AD Quadruple Extra Large","m5ad.4xlarge","64.0 GiB","0 units","16 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","600 GiB               (2 * 300 GiB NVMe SSD)","Yes","Yes","64-bit","Up to 10 Gigabit","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","$601.520000 monthly","$263.530000 monthly","$0.954 hourly","$0.657 hourly","$0.974 hourly","$0.587 hourly","$1138.800000 monthly","$800.810000 monthly","$1.83 hourly","$1.533 hourly","$3.48 hourly","$3.183 hourly","$7.56 hourly","$7.263 hourly","$1.094 hourly","$0.797 hourly","$2.744 hourly","$2.447 hourly","$6.824 hourly","$6.527 hourly","0","unavailable"
"X1E Extra Large","x1e.xlarge","122.0 GiB","12 units","4 vCPUs","0","None","0 GiB","0","0","3 units","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","Yes","Yes","unknown","unknown","120 GiB               SSD","Yes","No","64-bit","Up to 10 Gigabit","500.0 Mbps","62.5 MB/s","3700.0 IOPS","No","30","3","Yes","Yes","Yes","No","HVM","No","$608.820000 monthly","$195.640000 monthly","$0.894 hourly","$0.574 hourly","$0.934 hourly","$0.547 hourly","$743.140000 monthly","$329.960000 monthly","$1.086 hourly","$0.766 hourly","$1.498 hourly","$1.178 hourly","$2.518 hourly","$2.198 hourly","$0.902 hourly","$0.582 hourly","$1.314 hourly","$0.994 hourly","$2.334 hourly","$2.014 hourly","0","unavailable"
"C3 High-CPU Quadruple Extra Large","c3.4xlarge","30.0 GiB","55 units","16 vCPUs","0","None","0 GiB","0","0","3.438 units","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","Yes","unknown","unknown","Yes","320 GiB               (2 * 160 GiB SSD)","No","No","64-bit","High","N/A","0 MB/s","0 IOPS","No","240","8","Yes","No","Yes","No","HVM, PV","Yes","$613.200000 monthly","unavailable","$0.97 hourly","$0.714 hourly","$0.94 hourly","$0.62 hourly","$1097.920000 monthly","unavailable","$2.166 hourly","$1.54 hourly","$4.262 hourly","$3.084 hourly","$7.576 hourly","$7.329 hourly","$1.11 hourly","$0.801 hourly","$2.76 hourly","$2.451 hourly","$6.84 hourly","$6.531 hourly","unavailable","$0.210 hourly"
"I2 Extra Large","i2.xlarge","30.5 GiB","14 units","4 vCPUs","0","None","0 GiB","0","0","3.5 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","800 GiB               SSD","Yes","Yes","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$622.690000 monthly","unavailable","$0.913 hourly","$0.484 hourly","$0.953 hourly","$0.46 hourly","$710.290000 monthly","unavailable","$0.993 hourly","$0.578 hourly","$1.23 hourly","$0.768 hourly","$2.537 hourly","$2.108 hourly","$0.921 hourly","$0.449 hourly","$1.333 hourly","$0.861 hourly","$2.353 hourly","$1.881 hourly","unavailable","$0.213 hourly"
"C5N Quadruple Extra Large","c5n.4xlarge","42.0 GiB","0 units","16 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","Yes","$630.720000 monthly","$229.220000 monthly","$0.994 hourly","$0.674 hourly","$1.014 hourly","$0.604 hourly","$1168.000000 monthly","$766.500000 monthly","$1.87 hourly","$1.551 hourly","$3.52 hourly","$3.2 hourly","$7.6 hourly","$7.28 hourly","$1.134 hourly","$0.815 hourly","$2.784 hourly","$2.464 hourly","$6.864 hourly","$6.544 hourly","0","$0.216 hourly"
"General Purpose GPU Extra Large","p2.xlarge","61.0 GiB","12 units","4 vCPUs","1","NVIDIA Tesla K80","12 GiB","3.7","0","3 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","High","750.0 Mbps","93.75 MB/s","6000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$657.000000 monthly","$335.070000 monthly","$0.96 hourly","$0.674 hourly","$1 hourly","$0.647 hourly","$791.320000 monthly","$469.390000 monthly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.225 hourly"
"I3EN Double Extra Large","i3en.2xlarge","64.0 GiB","0 units","8 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8175","3.1 GHz","unknown","unknown","unknown","unknown","5000 GiB               (2 * 2500 GiB NVMe SSD)","Yes","Yes","64-bit","Up to 25 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$659.920000 monthly","$286.890000 monthly","$1.034 hourly","$0.746 hourly","$1.054 hourly","$0.676 hourly","$928.560000 monthly","$555.530000 monthly","$1.407 hourly","$1.119 hourly","$2.232 hourly","$1.944 hourly","$4.272 hourly","$3.984 hourly","$1.039 hourly","$0.751 hourly","$1.864 hourly","$1.576 hourly","$3.904 hourly","$3.616 hourly","0","unavailable"
"M5 General Purpose Quadruple Extra Large","m5d.4xlarge","64.0 GiB","60 units","16 vCPUs","0","None","0 GiB","0","0","3.75 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","Yes","600 GiB               (2 * 300 GiB NVMe SSD)","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","HVM","Yes","$659.920000 monthly","$289.080000 monthly","$1.034 hourly","$0.706 hourly","$1.004 hourly","$0.609 hourly","$1197.200000 monthly","$826.360000 monthly","$1.91 hourly","$1.582 hourly","$3.56 hourly","$3.232 hourly","$7.64 hourly","$7.312 hourly","$1.174 hourly","$0.846 hourly","$2.824 hourly","$2.496 hourly","$6.904 hourly","$6.576 hourly","0","$0.226 hourly"
"R5A Quadruple Extra Large","r5a.4xlarge","128.0 GiB","0 units","16 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","Yes","$659.920000 monthly","$299.300000 monthly","$1.034 hourly","$0.7 hourly","$1.054 hourly","$0.63 hourly","$1197.200000 monthly","$836.580000 monthly","$1.91 hourly","$1.577 hourly","$3.56 hourly","$3.226 hourly","$7.64 hourly","$7.306 hourly","$1.174 hourly","$0.841 hourly","$2.824 hourly","$2.49 hourly","$6.904 hourly","$6.57 hourly","0","$0.226 hourly"
"H1 Quadruple Extra Large","h1.4xlarge","64.0 GiB","53.5 units","16 vCPUs","0","None","0 GiB","0","0","3.344 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","4000 GiB               (2 * 2000 GiB HDD)","Yes","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$683.280000 monthly","$329.960000 monthly","$1.066 hourly","$0.766 hourly","$1.036 hourly","$0.669 hourly","$1220.560000 monthly","$867.240000 monthly","$1.942 hourly","$1.643 hourly","$3.592 hourly","$3.292 hourly","$7.672 hourly","$7.372 hourly","$1.206 hourly","$0.907 hourly","$2.856 hourly","$2.556 hourly","$6.936 hourly","$6.636 hourly","0","$0.234 hourly"
"M2 High Memory Quadruple Extra Large","m2.4xlarge","68.4 GiB","26 units","8 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon Family","unknown","unknown","unknown","unknown","unknown","1680 GiB               (2 * 840 GiB HDD)","No","N/A","64-bit","High","N/A","0 MB/s","0 IOPS","No","240","8","No","No","No","No","PV","Yes","$715.400000 monthly","unavailable","$1.11 hourly","$0.574 hourly","$1.08 hourly","$0.48 hourly","$1007.400000 monthly","unavailable","$1.7 hourly","$1.245 hourly","$2.976 hourly","$1.887 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.246 hourly"
"R5 Quadruple Extra Large","r5.4xlarge","128.0 GiB","71 units","16 vCPUs","0","None","0 GiB","0","0","4.438 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","Yes","240","8","No","Yes","Yes","No","HVM","Yes","$735.840000 monthly","$333.610000 monthly","$1.138 hourly","$0.765 hourly","$1.158 hourly","$0.695 hourly","$1273.120000 monthly","$870.890000 monthly","$2.014 hourly","$1.641 hourly","$3.664 hourly","$3.291 hourly","$7.744 hourly","$7.371 hourly","$1.278 hourly","$0.905 hourly","$2.928 hourly","$2.555 hourly","$7.008 hourly","$6.635 hourly","0","$0.252 hourly"
"R5AD Quadruple Extra Large","r5ad.4xlarge","128.0 GiB","0 units","16 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","600 GiB               (2 * 300 GiB NVMe SSD)","Yes","Yes","64-bit","10 Gigabit","2210.0 Mbps","265.0 MB/s","16000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","$765.040000 monthly","$343.100000 monthly","$1.178 hourly","$0.794 hourly","$1.198 hourly","$0.724 hourly","$1302.320000 monthly","$880.380000 monthly","$2.054 hourly","$1.67 hourly","$3.704 hourly","$3.32 hourly","$7.784 hourly","$7.4 hourly","$1.318 hourly","$0.934 hourly","$2.968 hourly","$2.584 hourly","$7.048 hourly","$6.664 hourly","0","unavailable"
"R4 High-Memory Quadruple Extra Large","r4.4xlarge","122.0 GiB","53 units","16 vCPUs","0","None","0 GiB","0","0","3.312 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$776.720000 monthly","$334.267000 monthly","$1.194 hourly","$0.802 hourly","$1.164 hourly","$0.705 hourly","$1314.000000 monthly","$871.547000 monthly","$2.082 hourly","$1.69 hourly","$3.72 hourly","$3.328 hourly","$7.8 hourly","$7.408 hourly","$1.3344 hourly","$0.9424 hourly","$2.984 hourly","$2.592 hourly","$7.064 hourly","$6.672 hourly","0","$0.266 hourly"
"Z1D 3xlarge","z1d.3xlarge","96.0 GiB","75 units","12 vCPUs","0","None","0 GiB","0","0","6.25 units","Intel Xeon Platinum 8151","unknown","unknown","unknown","unknown","unknown","450 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","438.0 MB/s","20000.0 IOPS","Yes","240","8","No","Yes","Yes","No","HVM","Yes","$814.680000 monthly","$335.800000 monthly","$1.246 hourly","$0.835 hourly","$1.266 hourly","$0.765 hourly","$1217.640000 monthly","$738.760000 monthly","$1.871 hourly","$1.46 hourly","$3.108 hourly","$2.697 hourly","$6.168 hourly","$5.757 hourly","$1.319 hourly","$0.908 hourly","$2.556 hourly","$2.145 hourly","$5.616 hourly","$5.205 hourly","0","$0.270 hourly"
"G3 Quadruple Extra Large","g3.4xlarge","122.0 GiB","47 units","16 vCPUs","1","NVIDIA Tesla M60","8 GiB","5.2","0","2.938 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$832.200000 monthly","$424.130000 monthly","$1.27 hourly","$0.9081 hourly","$1.24 hourly","$0.8111 hourly","$1369.480000 monthly","$961.410000 monthly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.270 hourly"
"R5D Quadruple Extra Large","r5d.4xlarge","128.0 GiB","71 units","16 vCPUs","0","None","0 GiB","0","0","4.438 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","unknown","600 GiB               (2 * 300 GiB NVMe SSD)","Yes","Yes","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","Yes","240","8","No","Yes","Yes","No","HVM","Yes","$840.960000 monthly","$376.680000 monthly","$1.282 hourly","$0.857 hourly","$1.302 hourly","$0.787 hourly","$1378.240000 monthly","$913.960000 monthly","$2.158 hourly","$1.733 hourly","$3.808 hourly","$3.383 hourly","$7.888 hourly","$7.463 hourly","$1.422 hourly","$0.997 hourly","$3.072 hourly","$2.647 hourly","$7.152 hourly","$6.727 hourly","0","$0.270 hourly"
"I3 High I/O Quadruple Extra Large","i3.4xlarge","122.0 GiB","53 units","16 vCPUs","0","None","0 GiB","0","0","3.312 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","3800 GiB               (2 * 1900 GiB NVMe SSD)","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","16000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$911.040000 monthly","$441.650000 monthly","$1.378 hourly","$0.987 hourly","$1.348 hourly","$0.89 hourly","$1448.320000 monthly","$978.930000 monthly","$2.266 hourly","$1.875 hourly","$3.904 hourly","$3.513 hourly","$7.984 hourly","$7.593 hourly","$1.518 hourly","$1.127 hourly","$3.168 hourly","$2.777 hourly","$7.248 hourly","$6.857 hourly","0","$0.270 hourly"
